Item,RefDes,Category,Manufacturer,MPN,DigiKey_PN,LCSC_PN,Qty,Unit_Price_100_USD,Primary_or_Alt,Why_This_Part,Validation_Status,DigiKey_URL,LCSC_URL
1,U101,PoE PD controller,Analog Devices,LTC9105,505-LTC9105IUKG#PBF-ND,TBD-VERIFY,1,6.90,Primary,802.3bt PD telemetry and allocation support,Validate package and availability,https://www.digikey.com/en/products/detail/analog-devices-inc/LTC9105IUKG-PBF/13567878,https://www.lcsc.com/
2,U102,Ideal bridge controller,Analog Devices,LT4321IDD#PBF,LT4321IDD#PBF-ND,TBD-VERIFY,1,4.80,Primary,Reduces bridge dissipation on PoE input,Validate bridge FET pairing,https://www.digikey.com/en/products/detail/analog-devices-inc/LT4321IDD-PBF/6032662,https://www.lcsc.com/
3,Q101-Q104,Ideal bridge MOSFET,Infineon,BSC340N08NS3GATMA1,BSC340N08NS3GCT-ND,C2924511,4,0.42,Primary,Low Rds(on) bridge FET set,Validate SOA for surge and inrush,https://www.digikey.com/en/products/detail/infineon-technologies/BSC340N08NS3GATMA1/2083214,https://www.lcsc.com/product-detail/MOSFETs_Infineon-Technologies-BSC340N08NS3GATMA1_C2924511.html
4,Q105,Hot-swap FET,Infineon,IPB017N10N5ATMA1,IPB017N10N5ATMA1CT-ND,TBD-VERIFY,1,2.85,Primary,Low-loss primary-side current path,Validate package thermal coupling,https://www.digikey.com/en/products/detail/infineon-technologies/IPB017N10N5ATMA1/2352182,https://www.lcsc.com/
5,U103,Digital isolator I2C,Analog Devices,ADUM1252ARZ,505-ADUM1252ARZ-ND,C9657,1,3.35,Primary,Isolated I2C telemetry bridge,Validate pull-up domain sizing,https://www.digikey.com/en/products/detail/analog-devices-inc/ADUM1252ARZ/2519804,https://www.lcsc.com/product-detail/Interface-Isolator_ADI-ADUM1252ARZ_C9657.html
6,U104,Forward/flyback controller placeholder,Analog Devices,MAX5974CETE+,MAX5974CETE+-ND,TBD-VERIFY,1,5.75,Primary,Represents isolated high-power PoE converter control path,Exact topology to be confirmed,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/MAX5974CETE/11492124,https://www.lcsc.com/
7,T101,Main transformer,Custom,EE25-forward-custom,TBD-VERIFY,TBD-VERIFY,1,4.50,Primary,Custom isolated power transformer for 65W class,Magnetics design pending,https://www.digikey.com/,https://www.lcsc.com/
8,D101,Damping / clamp diode,STMicroelectronics,STTH3R06QRL,497-STTH3R06QRLCT-ND,C155610,1,0.42,Primary,Fast recovery rectification and clamp support,Topology dependent,https://www.digikey.com/en/products/detail/stmicroelectronics/STTH3R06QRL/1031917,https://www.lcsc.com/product-detail/Diodes-General-Purpose_STMicroelectronics-STTH3R06QRL_C155610.html
9,U201,PD controller,Texas Instruments,TPS26750RSM,296-TPS26750RSMR-ND,TBD-VERIFY,1,3.20,Primary,USB PD 3.1 controller with EPR source support,Validate exact variant and tool flow,https://www.digikey.com/en/products/detail/texas-instruments/TPS26750RSMR/22162144,https://www.lcsc.com/
10,U202,Buck-boost source stage,Texas Instruments,BQ25756RTWR,296-BQ25756RTWR-ND,TBD-VERIFY,1,2.95,Primary,Programmable reverse-mode source rail for PD offers,Validate reverse-mode behavior for this use case,https://www.digikey.com/en/products/detail/texas-instruments/BQ25756RTWR/16501347,https://www.lcsc.com/
11,L201,Power inductor,Coilcraft,XAL7030-103MEB,DK-XAL7030-103MEB-ND,TBD-VERIFY,1,1.95,Primary,High-current buck-boost magnetics,Final value depends on switching design,https://www.digikey.com/en/products/detail/coilcraft/XAL7030-103MEB/9600231,https://www.lcsc.com/
